key,message,comment,context
"Centro","Centre","",""
"Departamento","Departament","",""
"Jefe departamento","Cap departament","",""
"Usuario","Usuari","",""
"Tipo usuario","Tipus usuari","",""
"Departamentos","Departaments","",""
"Cargos","Càrrecs","",""
"Docente","Docent","",""
"Estudiante","Estudiant","",""
"Administración","Administració","",""
"Conserjería","Consergeria","",""
"Visitante","Visitant","",""
"Code","Codi","",""
"Name","Nom","",""
"Tipo de Grupo","Tipus de Grup","",""
"Presencial","Presencial","",""
"Semipresencial","Semipresencial","",""
"Curso","Curs","",""
"Grupos","Grups","",""
"Dirección","Direcció","",""
"Ciudad","Ciutat","",""
"Código Postal","Codi Postal","",""
"Provincia","Província","",""
"Ciclos","Cicles","",""
"Centro Actual","Centre Actual","",""
"Grupo","Grup","",""
"Modulo","Module","",""
"Profesores","Professors","",""
