key,message,comment,context
"Centro","Centro","",""
"Departamento","Departamento","",""
"Jefe departamento","Jefe departamento","",""
"Usuario","Usuario","",""
"Tipo usuario","Tipo usuario","",""
"Departamentos","Departamentos","",""
"Cargos","Cargos","",""
"Docente","Docente","",""
"Estudiante","Estudiante","",""
"Administración","Administración","",""
"Conserjería","Conserjería","",""
"Visitante","Visitante","",""
"Code","Código","",""
"Name","Nombre","",""
"Tipo de Grupo","Tipo de Grupo","",""
"Presencial","Presencial","",""
"Semipresencial","Semipresencial","",""
"Curso","Curso","",""
"Grupos","Grupos","",""
"Dirección","Dirección","",""
"Ciudad","Ciudad","",""
"Código Postal","Código Postal","",""
"Provincia","Provincia","",""
"Ciclos","Ciclos","",""
"Centro Actual","Centro Actual","",""
"Grupo","Grupo","",""
"Modulo","Modulo","",""
"Profesores","Profesores","",""
