key,message,comment,context
"Código estado","Código estado","",""
"Estado","Estado","",""
"Código Evento","Código Evento","",""
"Evento","Evento","",""
"Expediente","Expediente","",""
"Fecha","Fecha","",""
"Code","Código","",""
"Name","Nombre","",""
"Ayuda","Ayuda","",""
"Tipo de expediente por defecto","Tipo de expediente por defecto","",""
"Tipo tramite","Tipo tramite","",""
"Publico","Publico","",""
"Privado","Privado","",""
"Profesor","Profesor","",""
"Alumno","Alumno","",""
"Tutor","Tutor","",""
"Dirección","Dirección","",""
"Administrativo","Administrativo","",""
"Conserje","Conserje","",""
"Tipo de Expediente","Tipo de Expediente","",""
"Num. Exped.","Num. Exped.","",""
"Código del estado","Código del estado","",""
"Fecha último estado","Fecha último estado","",""
"Cerrado","Cerrado","",""
"Historial estados","Historial estados","",""
"Ámbito creador","Ámbito creador","",""
"Ámbito responsable","Ámbito responsable","",""
"Clase que maneja los eventos","Clase que maneja los eventos","",""
"Tramite","Tramite","",""
"Estados","Estados","",""
"Perfil","Perfil","",""
"Tipo expediente","Tipo expediente","",""
"Creador","Creador","",""
"Responsable","Responsable","",""
"Secretario","Secretario","",""
"Director","Director","",""
"Auditor","Auditor","",""
"Centro","Centro","",""
"Departamento","Departamento","",""
"Ciclo","Ciclo","",""
"Curso","Curso","",""
"Grupo","Grupo","",""
"Módulo","Módulo","",""
"Individual","Individual","",""
