key,message,comment,context
"Apellidos","Apellidos","",""
"Nombre","Nombre","",""
"DNI","DNI","",""
"Dias","Dias","",""
"Mes","Mes","",""
"Año","Año","",""
"Tipo jornada falta","Tipo jornada falta","",""
"Hora inicio","Hora inicio","",""
"Hora fin","Hora fin","",""
"Motivo falta","Motivo falta","",""
"Otro motivo","Otro motivo","",""
"Disconformidad","Disconformidad","",""
"Resolución","Resolución","",""
"Tipo resolución","Tipo resolución","",""
"Foto o PDF del justificante","Foto o PDF del justificante","",""
"Documento a firmar por el usuario","Documento a firmar por el usuario","",""
"Documento","Documento","",""
"Fichero PDF","Fichero PDF","",""
"Toda la jornada","Toda la jornada","",""
"Jornada parcial","Jornada parcial","",""
"Enfermedad común","Enfermedad común","",""
"Permiso médico, educativo o asistencial","Permiso médico, educativo o asistencial","",""
"Traslado de domicilio","Traslado de domicilio","",""
"Asistencia a pruebas selectivas y exámenes","Asistencia a pruebas selectivas y exámenes","",""
"Nacimiento, adopción o acogimiento","Nacimiento, adopción o acogimiento","",""
"Fallecimiento o enfermedad grave de un familiar","Fallecimiento o enfermedad grave de un familiar","",""
"Deber inexcusable","Deber inexcusable","",""
"Funciones representativas","Funciones representativas","",""
"Otros","Otros","",""
"Septiembre","Septiembre","",""
"Octubre","Octubre","",""
"Noviembre","Noviembre","",""
"Diciembre","Diciembre","",""
"Enero","Enero","",""
"Febrero","Febrero","",""
"Marzo","Marzo","",""
"Abril","Abril","",""
"Mayo","Mayo","",""
"Junio","Junio","",""
"Resolver positivamente","Resolver positivamente","",""
"Resolver negativamente(Rechazar)","Resolver negativamente(Rechazar)","",""
"Solicitar subsanación de datos","Solicitar subsanación de datos","",""
"Justificación de falta del profesorado","Justificación de falta del profesorado","",""
"Datos del Profesor","Datos del Profesor","",""
"Datos de la Falta","Datos de la Falta","",""
"Adjuntar justificante","Adjuntar justificante","",""
"Justificante","Justificante","",""
"Firmar digitalmente el documento","Firmar digitalmente el documento","",""
"Ver documento firmado","Ver documento firmado","",""
"Resolver expediente","Resolver expediente","",""
"Explicar los datos a subsanar","Explicar los datos a subsanar","",""
"Motivo del rechazo","Motivo del rechazo","",""
"Justificantes","Justificantes","",""
"Documento firmado por el usuario","Documento firmado por el usuario","",""
"Documento firmado por el usuario y el director","Documento firmado por el usuario y el director","",""
"Disconformidad de los datos presentados","Disconformidad de los datos presentados","",""
"Motivo disconformidad","Motivo disconformidad","",""
"Borrar","Borrar","",""
"Siguiente","Siguiente","",""
"Salir","Salir","",""
"Atrás","Atrás","",""
"Presentar documentación","Presentar documentación","",""
"Resolver el expediente","Resolver el expediente","",""
"value:Justificación de falta del profesorado","Justificación de falta del profesorado","",""
"value:Entrada datos","Entrada datos","",""
"value:Firma por usuario","Firma por usuario","",""
"value:Revisión y firma por responsable","Revisión y firma por responsable","",""
"value:Aceptado","Aceptado","",""
"value:Rechazado","Rechazado","",""
