key,message,comment,context
"Prueba","Prova","",""
"Datos Solicitante","Dades Sol·licitant","",""
"FCT's","FCT's","",""
"Datos Resolución","Dades Resolució","",""
"Nombre","Nom","",""
"Anexo A2","Annex A2","",""
"Firmar A2","Signar A2","",""
"Anexo A3","Annex A3","",""
"Firmar A3","Signar A3","",""
"Borrar","Esborrar","",""
"Guardar","Guardar","",""
"Salir","Sortir","",""
"Rechazar","Rebutjar","",""
"Subsanar información","Esmenar informació","",""
"Aceptar","Acceptar","",""
"Detalle FCT","Detall FCT","",""
"Solicita","Sol·licita","",""
"Motivo","Motiu","",""
"Justificante","Justificant","",""
"Formaciones en Centros de Trabajo","Formacions en Centres de Treball","",""
"Alumno","Alumne","",""
