key,message,comment,context
"Prueba Búsqueda","Prova Cerca","",""
"Prueba de Búsqueda","Prova de Cerca","",""
"Expedientes","Expedients","",""
"Trámites","Tràmits","",""
"Trámite","Tràmit","",""
"Tutor","Tutor","",""
"Crear un nuevo expediente de tutor","Crear un nou expedient de tutor","",""
"Alumno","Alumne","",""
"Crear un nuevo expediente de alumno","Crear un nou expedient d'alumne","",""
"Profesor","Professor","",""
"Crear un nuevo expediente de profesor","Crear un nou expedient de professor","",""
"Administrativo","Administratiu","",""
"Crear un nuevo expediente de administrativo","Crear un nou expedient d'administratiu","",""
"Expedientes Esperando","Expedients Esperant","",""
"Expedientes esperando a que otra persona realice una tarea","Expedients esperant que una altra persona faci una tasca","",""
"Expedientes Pendientes","Expedients Pendents","",""
"Listado de expedientes pendientes de que realices la tarea","Llistat d'expedients pendents que facis la tasca","",""
"Conserje","Conserge","",""
"Crear un nuevo expediente de conserje","Crear un nou expedient de conserge","",""
"Dirección","Direcció","",""
"Crear un nuevo expediente de dirección","Crear un nou expedient de direcció","",""
"Expedientes Cerrados","Expedients Tancats","",""
"Expedientes cerrados","Expedients tancats","",""
"Nuevo Expediente","Nuevo Expediente Val","",""
"Num. Exp.","Num. Exp.","",""
"Creado por","Creat per","",""
"Estado","Estat","",""
"Fecha","Data","",""
