key,message,comment,context
"Prueba Búsqueda","Prueba Búsqueda","",""
"Prueba de Búsqueda","Prueba de Búsqueda","",""
"Expedientes","Expedientes","",""
"Trámites","Trámites","",""
"Trámite","Trámite","",""
"Tutor","Tutor","",""
"Crear un nuevo expediente de tutor","Crear un nuevo expediente de tutor","",""
"Alumno","Alumno","",""
"Crear un nuevo expediente de alumno","Crear un nuevo expediente de alumno","",""
"Profesor","Profesor","",""
"Crear un nuevo expediente de profesor","Crear un nuevo expediente de profesor","",""
"Administrativo","Administrativo","",""
"Crear un nuevo expediente de administrativo","Crear un nuevo expediente de administrativo","",""
"Expedientes Esperando","Expedientes Esperando","",""
"Expedientes esperando a que otra persona realice una tarea","Expedientes esperando a que otra persona realice una tarea","",""
"Expedientes Pendientes","Expedientes Pendientes","",""
"Listado de expedientes pendientes de que realices la tarea","Listado de expedientes pendientes de que realices la tarea","",""
"Conserje","Conserje","",""
"Crear un nuevo expediente de conserje","Crear un nuevo expediente de conserje","",""
"Dirección","Dirección","",""
"Crear un nuevo expediente de dirección","Crear un nuevo expediente de dirección","",""
"Expedientes Cerrados","Expedientes Cerrados","",""
"Expedientes cerrados","Expedientes cerrados","",""
