"key","message","comment","context"
"+{0} more","+{0} más",,
"API Documentation","Documentación de la API",,
"About","Acerca de",,
"Access Error","Error de acceso",,
"Action","Acción",,
"Action Category","Categoría de acción",,
"Action Sub-Category","Subcategoría de acción",,
"Action...","Acción...",,
"Active Users","Usuarios activos",,
"Add","Añadir",,
"Add Field","Añadir campo",,
"Add and new","Añadir y nuevo",,
"Add filter","Añadir filtro",,
"Add followers","Añadir seguidores",,
"Add recipients to post your message.","Añadir destinatarios para publicar tu mensaje.",,
"Add some tags","Añadir algunas etiquetas",,
"Add subitem","Añadir subelemento",,
"Add to favorites...","Añadir a favoritos...",,
"Advanced Search","Búsqueda avanzada",,
"Align left","Alinear a la izquierda",,
"Align right","Alinear a la derecha",,
"All","Todos",,
"All Day","Todo el día",,
"All Rights Reserved","Todos los derechos reservados",,
"Alt.Key","Alt",,
"An error has occurred{}. Please contact your administrator.","Ha ocurrido un error{}. Por favor, contacta con tu administrador.",,
"Apply","Aplicar",,
"Apply as default for all users","Aplicar como predeterminado para todos los usuarios",,
"Archive","Archivar",,
"Are you sure to unfollow this document?","¿Estás seguro de que quieres dejar de seguir este documento?",,
"Are you sure you want to delete the {0} selected documents?","¿Estás seguro de que quieres eliminar los {0} documentos seleccionados?",,
"Are you sure you want to delete {0}?","¿Estás seguro de que quieres eliminar {0}?",,
"Are you sure you want to reset this view customization?","¿Estás seguro de que quieres restablecer esta personalización de vista?",,
"Attached to...","Adjunto a...",,
"Attachment","Adjunto",,
"Attachments","Adjuntos",,
"Attributes","Atributos",,
"Avg","Promedio",,
"Back","Atrás",,
"Back to editor","Volver al editor",,
"Background color","Color de fondo",,
"Blockquote","Cita",,
"Bold (Ctrl+B)","Negrita (Ctrl+B)",,
"Call","Llamar",,
"Cancel","Cancelar",,
"Cancelled","Cancelado",,
"Center","Centrar",,
"Change password","Cambiar contraseña",,
"Change your password","Cambia tu contraseña",,
"Clear","Limpiar",,
"Close","Cerrar",,
"Close All","Cerrar todo",,
"Close Others","Cerrar otros",,
"Code","Código",,
"Collapse All","Contraer todo",,
"Columns","Columnas",,
"Comments","Comentarios",,
"Confirm new password","Confirmar nueva contraseña",,
"Copied","Copiado",,
"Copy to clipboard","Copiar al portapapeles",,
"Count","Contar",,
"Create","Crear",,
"Create document","Crear documento",,
"Create folder","Crear carpeta",,
"Create spreadsheet","Crear hoja de cálculo",,
"Create...","Crear...",,
"Created","Creado",,
"Created By","Creado por",,
"Created On","Creado el",,
"Ctrl.Key","Ctrl",,
"Current changes will be lost. Do you really want to proceed?","Los cambios actuales se perderán. ¿Realmente quieres continuar?",,
"Current changes will be saved. Do you want to proceed?","Los cambios actuales se guardarán. ¿Quieres continuar?",,
"Current password","Contraseña actual",,
"Custom ({0})","Personalizado ({0})",,
"Customize...","Personalizar...",,
"DMS.Home","Inicio",,
"Day","Día",,
"Days","Días",,
"Delete","Eliminar",,
"Delete...","Eliminar...",,
"Delete.Key","Eliminar",,
"Details","Detalles",,
"Details...","Detalles...",,
"Directory","Directorio",,
"Display process","Mostrar proceso",,
"Do you really want to archive the selected record(s)?","¿Realmente quieres archivar el/los registro(s) seleccionado(s)?",,
"Do you really want to archive the selected record?","¿Realmente quieres archivar el registro seleccionado?",,
"Do you really want to delete the selected record(s)?","¿Realmente quieres eliminar el/los registro(s) seleccionado(s)?",,
"Do you really want to delete the selected record?","¿Realmente quieres eliminar el registro seleccionado?",,
"Do you really want to delete the selected task?","¿Realmente quieres eliminar la tarea seleccionada?",,
"Do you really want to unarchive the selected record(s)?","¿Realmente quieres desarchivar el/los registro(s) seleccionado(s)?",,
"Do you really want to unarchive the selected record?","¿Realmente quieres desarchivar el registro seleccionado?",,
"Do you really want to update all {0} record(s)?","¿Realmente quieres actualizar los {0} registro(s)?",,
"Document","Documento",,
"Documentation","Documentación",,
"Domain","Dominio",,
"Download","Descargar",,
"Downloading file…","Descargando archivo…",,
"Downloading {0}…","Descargando {0}…",,
"Drop here","Soltar aquí",,
"Drop your files to start upload.","Suelta tus archivos para comenzar la carga.",,
"Duplicate","Duplicar",,
"Edit","Editar",,
"Either select or create a record.","Selecciona o crea un registro.",,
"Email","Correo electrónico",,
"Email address","Dirección de correo electrónico",,
"Enum type","Tipo enumerado",,
"Environment","Entorno",,
"Error","Error",,
"Error code :","Código de error:",,
"Expand All","Expandir todo",,
"Export","Exportar",,
"Export full","Exportar completo",,
"Failed","Fallido",,
"Failed to parse the given JSON theme : incorrect syntax was encountered.","Error al analizar el tema JSON proporcionado: se encontró una sintaxis incorrecta.",,
"False","Falso",,
"Favorite","Favorito",,
"Field name","Nombre del campo",,
"Field type","Tipo de campo",,
"File","Archivo",,
"File does not exist.","El archivo no existe.",,
"File upload","Subir archivo",,
"File {0} does not exist.","El archivo {0} no existe.",,
"Filter","Filtro",,
"Filters","Filtros",,
"Filters ({0})","Filtros ({0})",,
"Fixed line","Línea fija",,
"Fixed line or mobile","Línea fija o móvil",,
"Folder","Carpeta",,
"Followers","Seguidores",,
"Font","Fuente",,
"Font color","Color de fuente",,
"Font size","Tamaño de fuente",,
"Forgot password?","¿Olvidaste tu contraseña?",,
"Formatted","Formateado",,
"Free Memory","Memoria libre",,
"Go","Ir",,
"Go back to sign in page","Volver a la página de inicio de sesión",,
"Grid requires at least one field.","La cuadrícula requiere al menos un campo.",,
"Group by","Agrupar por",,
"Grouped","Agrupado",,
"Groups","Grupos",,
"Header 1","Encabezado 1",,
"Header 2","Encabezado 2",,
"Header 3","Encabezado 3",,
